,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,ID PRODUIT [FAMILLE DE PRODUIT] ,,,,,,,,
,,FROID ,,,,,,,,
,,REFREGERATEUR ,CODE PANNE ,PANNE,CODE CAUSE [SYMTOME],CAUSE ,CODE SOLUTION ,SOLUTION ,CODE PDR ,PDR 
,,GN-BCD525,REF-001,PAS DE FROID ,REF-001-C01,COMPRESSEUR ,REF-001-S01,CHANGE COMPRESSEUR ,,
,,,REF-002,PAS DE FROID ,REF-001-C02,RELAIS +CLIXON ,REF-001-S02,CHANGE RELAIS+CLIXON ,,
,,,REF-003,PAS DE FROID ,REF-001-C03,CABLE D'ALLUMANTATION ,REF-001-S03,CHANGE CABLE D'ALLUMANTATION,,
,,,REF-004,PAS DE FROID ,REF-001-C04,THERMOSTAT ,REF-001-S04,CHANGE THERMOSTAT ,,
,,,REF-005,PAS DE FROID ,REF-001-C05,BOUCHAGE CERCUIT ,REF-001-S05,DEBOUCHAGE CERCUIT ,,
,,,REF-006,PAS DE FROID ,REF-001-C06,FUITE DE GAZ A L'EXTERIEUR ,REF-001-S06,SOUDURE FUITE DE GAZ ,,
,,,REF-007,PAS DE FROID ,REF-001-C07,FUITE DE GAZ A L'INTERIEUR  ,REF-001-S07,CHANGEMENT BODY ,,
,,,REF-008,PAS DE FROID ,REF-001-C08,MANQUE DE GAZ ,REF-001-S08,CHARGEMENT DE GAZ ,,
,,,CODE PANNE ,PANNE,CODE CAUSE [SYMTOME],CAUSE ,CODE SOLUTION ,SOLUTION ,CODE PDR ,PDR 
,,,REF-009,BRUIT,REF-002-C01,COMPRESSEUR ,REF-002-S01,CHANGE COMPRESSEUR ,,
,,,REF-010,BRUIT,REF-002-C02,AMORTISSEUR COMPRESSEUR ,REF-002-S02,CHANGE AMORTISSEUR COMPRESSEUR ,,
,,,REF-011,BRUIT,REF-002-C03, COMPRESSEUR ,REF-002-S03,REGLAGE COMPRESSEUR ,,
,,,CODE PANNE ,PANNE,CODE CAUSE [SYMTOME],CAUSE ,CODE SOLUTION ,SOLUTION ,CODE PDR ,PDR 
,,,REF-011,GIVRE ,REF-003-C01,JOIN DE PORTE ,REF-003-S01,CHANGE JOIN DE PORTE,,
,,,REF-012,GIVRE ,REF-003-C02,THERMOSTAT,REF-003-S02,CHANGE THERMOSTAT ,,
,,,REF-013,GIVRE ,REF-003-C03,POUMELLE DE PORTE ,REF-003-S03,CHANGE POUMELLE DE PORTE ,,
,,,CODE PANNE ,PANNE,CODE CAUSE [SYMTOME],CAUSE ,CODE SOLUTION ,SOLUTION ,CODE PDR ,PDR 
,,GN-BCD435,REF-001,PAS DE FROID ,REF-001-C01,COMPRESSEUR ,REF-001-S01,CHANGE COMPRESSEUR ,,
,,,REF-002,PAS DE FROID ,REF-001-C02,RELAIS +CLIXON ,REF-001-S02,CHANGE RELAIS+CLIXON ,,
,,,REF-003,PAS DE FROID ,REF-001-C03,CABLE D'ALLUMANTATION ,REF-001-S03,CHANGE CABLE D'ALLUMANTATION,,
,,,REF-004,PAS DE FROID ,REF-001-C04,THERMOSTAT ,REF-001-S04,CHANGE THERMOSTAT ,,
,,,REF-005,PAS DE FROID ,REF-001-C05,BOUCHAGE CERCUIT ,REF-001-S05,DEBOUCHAGE CERCUIT ,,
,,,REF-006,PAS DE FROID ,REF-001-C06,FUITE DE GAZ A L'EXTERIEUR ,REF-001-S06,SOUDURE FUITE DE GAZ ,,
,,,REF-007,PAS DE FROID ,REF-001-C07,FUITE DE GAZ A L'INTERIEUR  ,REF-001-S07,CHANGEMENT BODY ,,
